Load (MW),Solar Generation (MW),Price ($/MWh),s1_Gen,s2_Line,s3_XFMR
2736.129829591184,625.9056804,60.2,1,1,1
1891.5974342938432,148.91857199999998,40.61,1,1,1
3150.239371315456,651.1365431999999,27.2,1,1,1
2487.7203859224314,605.1913164,33.06,1,1,1
3065.947132526527,1080.2247984,25.3,1,1,1
1993.5480032885257,0.0,31.13,1,1,1
3171.3112455370533,308.80895760000004,35.62,1,1,1
3334.040917917795,1611.7498584,38.96,1,1,1
2081.6959612780865,368.6214312,19.0,1,1,1
3161.6912872670523,159.790752,38.0,1,1,1
3077.3535597233144,218.75297400000005,35.35,1,1,1
3107.9927108201646,294.5667384,34.27,1,1,1
2958.3626172854,1286.2408284,27.01,1,1,1
2951.047739418915,928.0223568,17.24,1,1,1
1838.7477629394916,0.309672,25.33,1,1,1
3270.67724414276,1219.6041263999998,39.0,1,1,1
2839.5965870074,873.8694756,43.99,1,1,1
3158.3387015547364,402.0915888,31.59,1,1,1
1974.9096189883048,0.0,26.06,1,1,1
2519.960133675701,0.0,37.69,1,1,1
2060.125653357509,0.0,32.83,1,1,1
2979.2772797657603,13.625568,54.68,1,1,1
2424.236669638962,796.2717312,50.14,1,1,1
3190.2085720040627,1097.3038824,33.11,1,1,1
2955.4869461905296,0.0,52.92,1,1,1
1975.350231804098,22.0291236,26.58,1,1,1
1911.228652362838,0.0,24.27,1,1,1
1960.3852583570188,0.0,30.19,1,1,1
2311.047315039505,318.2377968,48.37,1,1,1
2837.085887122665,497.235618,46.2,1,1,1
2026.6235151481696,12.7531008,31.94,1,1,1
2744.617520908139,0.309672,47.0,1,1,1
1869.345536682342,0.0,33.69,1,1,1
3063.561603533359,707.5783044000001,28.03,1,1,1
2580.4316274689995,0.0,47.85,1,1,1
3195.3803214054533,208.1049696,48.4,1,1,1
2548.8560853267163,1233.898182,34.9,1,1,1
2936.469099723482,0.0,42.02,1,1,1
3237.1302226127104,0.0,49.89,1,1,1
2163.7783645531968,134.4124584,31.0,1,1,1
3505.533749937684,714.3984936,27.57,1,1,1
2178.178491363106,52.819272,26.89,1,1,1
